idx,label,id,type,source
34991,"Shinman, Sheila M.",b98z5f2q,Person,contributor
15921,"Brenner, H. D. (Hans D.)",ak978u5d,Person,contributor
122969,"Myrdal, Alva, 1902-1986.",ecjf5m9k,Person,contributor
336963,"Robbins, Anthony.",nzsjmntg,Person,contributor
114899,"Paris, John Ayrton, 1785-1856.",e3ngndhx,Person,contributor
523878,"Mettler, Cecilia Charlotte, 1909-1943.",vp5dh6fy,Person,contributor
148750,"Osmond, T. E. (Thomas Edward), 1884-",fa686enr,Person,contributor
113076,"Thompson, Henry, Sir, 1820-1904.",dznmjpe8,Agent,contributor
318915,"Whillis, J. (James)",ncq8m2gn,Person,contributor
261758,"Sgouros, John.",kb7cuz4b,Person,contributor
335864,"Dalton, Frederick Thomas, 1855-1927.",nyhngevf,Person,contributor
598005,"Leon-Portilla, Miguel",yakenpv4,Person,contributor
624244,"Klett, Richard.",z87n6ysv,Person,contributor
54884,"Gillespy, T. G.",by6strvu,Person,contributor
258263,"Maillard, Marianne.",k7c9hwe6,Person,subject
556194,"Blacker, George.",wtp239yu,Person,contributor
456959,"Bard, Samuel, 1742-1821",ta2ge74g,Person,contributor
620347,"Rnam-rgyal-grags-pa-bzang-po, Byang-pa.",z3y75w6c,Person,contributor
376607,"Bierig, Aleksandr",qe7nm7pz,Person,contributor
190466,Banish'd Hermit,gsc6f8xh,Person,contributor
270114,"Wollny, F.",kmmrajap,Person,contributor
320628,"Valadier, Auguste Charles, 1873-1931.",nembhuec,Person,subject
499248,"Macy, Joanna",ushnpsj5,Person,contributor
625617,"Fordyce, William, Sir, 1724-1792",z9rec2k8,Person,contributor
520084,"Dymock, Ronald C.",vhug75n5,Person,contributor
426406,"Benech, Louis Victor, 1787-approximately 1855.",s6z657xj,Person,contributor
501909,"Benedict XIV, 1675-1758.",uvj8p48x,Person,contributor
40593,"Glegg, Gordon Lindsay",bfncfkja,Person,contributor
449506,"Heathcock, Clara and Wray, Patrick ",szpk4qdt,Person,contributor
481051,"Ibn Isḥāq, Muḥammad, -approximately 768.",u5k5e4f2,Person,contributor
356209,"Friese, Friedrich Gotthilf, 1763-1827.",pptpw4c9,Person,subject
6539,"Dalibray, Charles Vion, sieur de, approximately 1600-approximately 1655.",a94tervd,Person,contributor
465797,"Tscherniakowsky, Theodor.",tkr3nnr2,Person,contributor
346807,"Bellamy, Denis.",pcjw92q9,Person,contributor
316586,"Starr, R.N.",na5a3m5z,Person,contributor
333420,"C., Lord.",nvvawbkv,Person,contributor
394817,"Roper, Lyndal.",r364brxg,Person,contributor
91090,"Frenken, Josephus Hubertus.",d8uj92zc,Person,contributor
488975,"Rowbotham, G. F. (George Frederick)",ue7ag667,Person,contributor
142314,"Sayer, G.",f2vdn5a6,Person,contributor
